transaction_date,post_date,description,category,type,amount,transaction_class,source_file,account_type,institution,month
2026-04-22,2026-04-23,CVS/PHARMACY #09894,Health & Wellness,Sale,-19.74,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-21,2026-04-23,NIJIYA MARKET #61,Groceries,Sale,-2.69,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-19,2026-04-21,TRADER JOE S #232,Groceries,Sale,-104.41,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-20,2026-04-20,WEEE INC.,Groceries,Sale,-7.99,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-20,2026-04-20,WEEE INC.,Groceries,Sale,-64.32,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-19,2026-04-20,SNACK* CHICHA SAN CHEN,Food & Drink,Sale,-18.31,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-19,2026-04-20,WEEE INC.,Groceries,Sale,-148.45,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-17,2026-04-19,HAIDILAO HOT POT CUPERTI,Food & Drink,Sale,-154.32,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-17,2026-04-19,SQ *MODERNBRAIN,Education,Return,100.0,refund,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-18,2026-04-19,HUNGRYPANDA US INC.,Food & Drink,Sale,-32.18,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-19,2026-04-19,HUNGRYPANDA US INC.,Food & Drink,Sale,-30.84,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-16,2026-04-17,UEP*PING'S BISTRO CUPERTI,Food & Drink,Sale,-30.72,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-15,2026-04-16,RVT*Valley Christian S,Education,Sale,-313.5,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-14,2026-04-15,SUBWAY 46028,Food & Drink,Sale,-13.41,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-14,2026-04-14,LO SI DING NOODLE,Food & Drink,Sale,-23.89,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-13,2026-04-14,HUNGRYPANDA US INC.,Food & Drink,Sale,-6.99,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-13,2026-04-14,Sky Zone San Jose Camb,Entertainment,Sale,-37.99,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-13,2026-04-14,MCDONALD'S F5667,Food & Drink,Sale,-4.28,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-14,2026-04-14,SQ *MODERNBRAIN,Education,Sale,-100.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-11,2026-04-13,7-ELEVEN 37730,Gas,Sale,-13.38,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-12,2026-04-13,AMC 9640 ONLINE,Entertainment,Sale,-61.12,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-10,2026-04-12,MCDONALD'S F654,Food & Drink,Sale,-9.7,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-09,2026-04-12,STARBUCKS STORE 24310,Food & Drink,Sale,-3.79,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-09,2026-04-10,MCDONALD'S F12566,Food & Drink,Sale,-23.17,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-08,2026-04-10,LITTLE CAESARS #5715,Food & Drink,Sale,-15.41,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-08,2026-04-10,GELSON'S MARKETS #4,Groceries,Sale,-24.33,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-08,2026-04-09,MCDONALD'S F13045,Food & Drink,Sale,-26.52,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-07,2026-04-09,CITY OF SANTA MONICA,Travel,Sale,-5.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-08,2026-04-09,SQ *UNDERWOOD FAMILY FARM,Groceries,Sale,-9.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-07,2026-04-09,CAYTON CHILDREN'S MUSEUM,Entertainment,Sale,-80.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-08,2026-04-09,SQ *UNDERWOOD FAMILY FARM,Groceries,Sale,-75.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2025-12-31,2025-12-31,Beginning balance as of 12/31/2025,Uncategorized,Checking,,unknown,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2025-12
2025-12-31,2025-12-31,"PARAMOUNT COMMER DES:PAYROLL ID:4900791706545MN INDN:PENG,LANYA CO ID:9111111101 PPD",Uncategorized,Checking,10296.41,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2025-12
2025-12-31,2025-12-31,AIRBNB 4977 DES:AIRBNB ID:G-7H3QBTV5XGK7V INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-7H3QBTV5XGK7V\,Uncategorized,Checking,287.3,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2025-12
2026-01-02,2026-01-02,Zelle payment from Scott Leach Conf# 0PB61CKFA,Uncategorized,Checking,2000.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,Zelle payment from Scott Leach Conf# 0EBT1XK69,Uncategorized,Checking,2000.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,AIRBNB 4977 DES:AIRBNB ID:G-N6QWFKH5UDZE3 INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-N6QWFKH5UDZE3\,Uncategorized,Checking,466.57,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,AIRBNB 4977 DES:AIRBNB ID:G-GYJ6LT5E4WOPY INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-GYJ6LT5E4WOPY\,Uncategorized,Checking,329.8,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,AIRBNB 4977 DES:AIRBNB ID:G-ELBIQFT5SFS2Y INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-ELBIQFT5SFS2Y\,Uncategorized,Checking,287.3,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,VENMO *Gabriel 01/01 PMNT SENT Visa Direct NY,Uncategorized,Checking,-140.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,VENMO *Gabriel 01/02 PMNT SENT New York NY,Uncategorized,Checking,-130.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,TRAVIS CREDIT UN DES:CK-WTH ID: INDN:NING ZHAN CO ID:321170839 PPD PMT INFO: BANK OF AMERICA,Uncategorized,Checking,-6408.88,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,UNITEDWHOLESALE DES:LOAN PAYMT ID:0171285687 INDN:NING ZHAN CO ID:9DRAFTING WEB,Uncategorized,Checking,-3335.23,mortgage,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,"Stratford School DES:Payment ID:20905077 INDN:Peng, Lanya CO ID:3943337701 PPD",Uncategorized,Checking,-2442.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,LOANDEPOT DES:MSP ACH ID:5002712486 INDN:NING ZHAN CO ID:2939213310 PPD,Uncategorized,Checking,-1581.47,mortgage,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,"Stratford School DES:Payment ID:20905077 INDN:Peng, Lanya CO ID:3943337701 PPD",Uncategorized,Checking,-423.2,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-02,2026-01-02,"Stratford School DES:Payment ID:20905077 INDN:Peng, Lanya CO ID:3943337701 PPD",Uncategorized,Checking,-50.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,Zelle payment from Scott Leach Conf# 01BR1DKIC,Uncategorized,Checking,650.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,AIRBNB 4977 DES:AIRBNB ID:G-NL6HS2VUQOP4T INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-NL6HS2VUQOP4T\,Uncategorized,Checking,323.01,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,VENMO *Gabriel 01/04 PMNT SENT New York NY,Uncategorized,Checking,-60.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,WIRE TYPE:FX OUT DATE:260107 TIME:0521 ET TRN:2026010500119091 FX:CNY 20000.00 6.7018 BNF:GUITAO LV ID:6217567500013562 BNF BK:BANK OF C HINA ID:BKCHCNBJ970 PMT DET:590392082 POP Family S upport PHN 15115669398 /FXREF/te-1-7-193865078-2,Uncategorized,Checking,-2984.27,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,VENMO *Gabriel 01/05 PMNT SENT Visa Direct NY,Uncategorized,Checking,-130.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,SELECT PORTFOLIO DES:SPS ID:0034398669 INDN:Ning Zhan CO ID:1870465626 WEB,Uncategorized,Checking,-12141.95,mortgage,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,REGIONS MORTGAGE DES:MORT PMT ID:1898148010 INDN:NING ZHAN CO ID:62-0859006 PPD,Uncategorized,Checking,-2139.03,mortgage,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,USBANK LOAN DES:PAYMENT ID:000000517592034 INDN:ZHAN NING CO ID: 580580574 PPD PMT INFO:NTE*SPH*ACCT 00517592034 EFFEC TIVE 01/05,Uncategorized,Checking,-782.55,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,CITI AUTOPAY DES:PAYMENT ID:191899046460197 INDN:NING ZHAN CO ID:CITICARDAP WEB,Uncategorized,Checking,-276.04,transfer,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,SUNRUN DES:8554786786 ID:2VLWOBQBVY1297J INDN:LANYA PENG CO ID:1862319934 PPD,Uncategorized,Checking,-206.74,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-05,2026-01-05,Alberto Hernadez Bill Payment,Uncategorized,Checking,-100.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-06,2026-01-06,AIRBNB 4977 DES:AIRBNB ID:G-5DOWS3NM4MDAZ INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-5DOWS3NM4MDAZ\,Uncategorized,Checking,706.16,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-06,2026-01-06,VIA BENEFITS DES:CLAIM PMNT ID:75398757 INDN:NING ZHAN CO ID:3900234962 PPD,Uncategorized,Checking,138.75,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-07,2026-01-07,VENMO *Gabriel 01/07 PMNT SENT New York NY,Uncategorized,Checking,-130.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-07,2026-01-07,CHASE CREDIT CRD DES:AUTOPAY ID:000000000469673 INDN:PENG LANYA CO ID:4760039224 PPD,Uncategorized,Checking,-7541.47,transfer,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-08,2026-01-08,AIRBNB 4977 DES:AIRBNB ID:G-MNNOOFVUSMAVN INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-MNNOOFVUSMAVN\,Uncategorized,Checking,632.51,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-08,2026-01-08,AIRBNB 4977 DES:AIRBNB ID:G-CZK3BTL4PAOLL INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-CZK3BTL4PAOLL\,Uncategorized,Checking,293.91,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-08,2026-01-08,PRUDENTIAL DES:PAYMENTS ID:652659440502357 INDN:NING ZHAN CO ID:3046100021 PPD,Uncategorized,Checking,-114.19,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-09,2026-01-09,AIRBNB 4977 DES:AIRBNB ID:G-M4FIKC6SN3WWG INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-M4FIKC6SN3WWG\,Uncategorized,Checking,500.52,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-09,2026-01-09,VENMO *Gabriel 01/09 PMNT SENT New York NY,Uncategorized,Checking,-130.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-09,2026-01-09,CHASE CREDIT CRD DES:AUTOPAYBUS ID:000000000551696 INDN:ZHAN NING CO ID:4760039224 PPD,Uncategorized,Checking,-2773.58,transfer,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-09,2026-01-09,"CARDMEMBER SERV DES:WEB PYMT ID:***********8409 INDN:ZHAN,NING 33 CO ID:5911111111 WEB",Uncategorized,Checking,-293.22,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-09,2026-01-09,Anthem Community DES:HOA Dues ID:100148401 INDN:Ning Zhan and Lanya Pe CO ID:1860953369 PPD,Uncategorized,Checking,-103.47,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-09,2026-01-09,AMERICAN GEN LIF DES:INS_PAYMT ID:000711766735 INDN:LANYA PENG 260107 CO ID:4250598210 PPD,Uncategorized,Checking,-59.25,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-12,2026-01-12,Zelle payment from 4850 E FRIESS LLC Conf# 99c1mf0bo,Uncategorized,Checking,5810.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-12,2026-01-12,VENMO *Gabriel 01/11 PMNT SENT New York NY,Uncategorized,Checking,-130.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-12,2026-01-12,AMERICAN EXPRESS DES:ACH PMT ID:A3442 INDN:LANYA PENG CO ID:3133133497 WEB,Uncategorized,Checking,-116.46,transfer,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-12,2026-01-12,COMCAST-XFINITY DES:CABLE SVCS ID:4421895 INDN:NING *ZHAN CO ID:0000213249 PPD,Uncategorized,Checking,-45.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-13,2026-01-13,Cactusflower Pro DES:SIGONFILE ID:86Y5T3 INDN:Ning Zhan Ning Zhan CO ID:9001427470 PPD,Uncategorized,Checking,2116.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-13,2026-01-13,AustinVestors DES:SIGONFILE ID:XVV3T3 INDN:Ning Zhan & Lanya Peng CO ID:9000316194 CCD,Uncategorized,Checking,1794.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-13,2026-01-13,AIRBNB 4977 DES:AIRBNB ID:G-XRNXYAVEMXGG3 INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-XRNXYAVEMXGG3\,Uncategorized,Checking,476.27,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-13,2026-01-13,AIRBNB 4977 DES:AIRBNB ID:G-EWQIDJILQ5XYD INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-EWQIDJILQ5XYD\,Uncategorized,Checking,295.75,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-13,2026-01-13,VENMO *Gabriel 01/13 PMNT SENT New York NY,Uncategorized,Checking,-190.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,"PARAMOUNT COMMER DES:PAYROLL ID:6120746933595MN INDN:PENG,LANYA CO ID:9111111101 PPD",Uncategorized,Checking,9445.84,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,AIRBNB 4977 DES:AIRBNB ID:G-ELQ34JWL6C3DP INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-ELQ34JWL6C3DP\,Uncategorized,Checking,490.1,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,VIA BENEFITS DES:CLAIM PMNT ID:75975035 INDN:NING ZHAN CO ID:3900234962 PPD,Uncategorized,Checking,326.0,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,AIRBNB 4977 DES:AIRBNB ID:G-OUB6VF4MJBJHH INDN:Ning Zhan CO ID:1463165559 PPD PMT INFO:TRN*1*G-OUB6VF4MJBJHH\,Uncategorized,Checking,198.57,income,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,VENMO *Gabriel 01/15 PMNT SENT Visa Direct NY,Uncategorized,Checking,-190.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,Valley Christian DES:FACTS ID:000000265096097 INDN:Lanya Peng CO ID:9470751402 WEB,Uncategorized,Checking,-2700.91,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,CHASE CREDIT CRD DES:AUTOPAYBUS ID:000000000219697 INDN:ZHAN NING CO ID:4760039224 PPD,Uncategorized,Checking,-550.0,transfer,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-15,2026-01-15,STAR ONE CU DES:SO A2AXFER ID:NING ZHAN INDN:NING ZHAN CO ID:1321177968 WEB,Uncategorized,Checking,-50.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-16,2026-01-16,BKOFAMERICA ATM 01/15 #000003189 WITHDRWL DE ANZA SQUARE SUNNYVALE CA,Uncategorized,Checking,-800.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-16,2026-01-16,VENMO *Gabriel 01/16 PMNT SENT New York NY,Uncategorized,Checking,-130.0,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
2026-01-16,2026-01-16,COMCAST-XFINITY DES:CABLE SVCS ID:5681339 INDN:NING *ZHAN CO ID:0000213249 PPD,Uncategorized,Checking,-56.41,expense,BofA Joint Checking 4759 YTD 20260617.csv,checking,BofA,2026-01
